Account Address,Token Name,Token Amount,Total PnL ($),Win Ratio,Sharpe Ratio,Sortino Ratio,Date Range
G8qjGRCgNofmkVWtCcAcKFdJLUchze53C4c8ujkXFtrh,Fartcoin,289428.00000106805,5802.283425110699,0.999,6.8198,10.2297,2025-07-18 to 2025-07-31
PVHcYVit3g2dJAZsULbEvqBevtB97KdRyP8oG88KN8K,Fartcoin,289344.584491188,58438.51768185875,1.0,5.2915,7.9373,2025-07-17 to 2025-07-30
FkTvSnnZZHdpbfYQDFY9Zsb3ehKTvH7FETEEs9Y7zT2w,Fartcoin,285863.474531916,78207.30278492438,0.999,6.1006,9.1508,2025-07-05 to 2025-07-30
B72QNkFmjd9T8prknyN45SZzatsaBwjir2DueCdknSv5,Fartcoin,278241.537088788,17979205.942736797,0.998,5.6125,8.4187,2025-07-16 to 2025-07-31
GCnCesT48KscB92StroDGi5EoAL1Vuq8Jr9cS9RSEtRg,Fartcoin,276550.034887776,453559.273380586,0.999,4.407,6.6105,2025-07-15 to 2025-07-31
AhxzRPdizP8Dg52aJHrczQphEcsPv36QocHujrcPtarU,Fartcoin,275544.000002136,176615.45288380285,1.0,3.7468,5.6203,2025-07-03 to 2025-07-31
FccZVyny6ZVSYb1Uqgu2kPhyoHBJ4EvQB1re4e8Di6W9,Fartcoin,251311.62671454,10923.132528508424,0.999,3.7112,5.5668,2025-07-03 to 2025-07-30
4xKhvKveunZpTV27e9SU4xDozG1hjEnH8yMRkG53HeEw,Fartcoin,240327.957186588,5663.773117594977,1.0,4.2685,6.4027,2025-07-02 to 2025-07-31
385MkPBB4kXDABDrDvcURP1T6kQmFZUySDvLVZnKQrDG,Fartcoin,239234.64611952,8208.464696119465,1.0,7.6304,11.4456,2025-07-07 to 2025-07-29
Bz6pwnEEtspxRVxwJycmDBZQFdAhDgPaJWvRcTP24ZP9,Fartcoin,234363.872697024,10109.446805253121,1.0,4.2784,6.4176,2025-07-11 to 2025-07-31
